date,max_temp,min_temp
2026-03-11,31.4,18.0
2026-03-12,32.9,18.4
2026-03-13,32.7,19.1
2026-03-14,32.4,19.4
2026-03-15,32.0,19.3
2026-03-16,31.0,19.1
2026-03-17,30.8,19.3
2026-03-18,30.2,18.8
